"44.6471761,-100.348761","('South Dakota', ['https://www.cbsnews.com/news/keystone-xl-pipeline-canceled/'])"
"38.27312,-98.5821872","('Kansas', ['https://www.cbsnews.com/news/keystone-xl-pipeline-canceled/', 'https://www.cbsnews.com/news/oxnard-california-hazard-pay-stimulus-american-rescue-plan/'])"
"29.7589382,-95.3676974","('Houston', ['https://www.cbsnews.com/news/covid-vaccine-houston-methodist-hospital-system-suspensions/'])"
"29.7355047,-94.9774274","('Baytown', ['https://www.cbsnews.com/news/covid-vaccine-houston-methodist-hospital-system-suspensions/'])"
"45.0184417,-74.728703","('Cornwall', ['https://www.cbsnews.com/news/biden-europe-trip-first-foreign-international/', 'https://www.cbsnews.com/news/mount-recyclemore-sculpture-g7-cornwall-uk-biden-other-leaders-e-waste/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.com/news/world-49434667', 'https://www.bbc.com/news/uk-57406029', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519', 'http://www.bbc.com/news/uk-57406029'])"
"51.0,10.0","('Europe', ['https://www.cbsnews.com/news/biden-europe-trip-first-foreign-international/', 'https://www.cbsnews.com/news/russia-covid-cases-deaths-rise-many-decline-sputnik-vaccine/', 'https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.cbsnews.com/news/anom-app-fbi-criminals-trojan-shield/', 'https://www.cbsnews.com/news/biden-infrastructure-bill-ends-negotiations-republican-senators/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.com/news/world-57412997', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html', 'http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
"64.6863136,97.7453061","('Russia', ['https://www.cbsnews.com/news/biden-europe-trip-first-foreign-international/', 'https://www.cbsnews.com/news/russia-covid-cases-deaths-rise-many-decline-sputnik-vaccine/', 'https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.cbsnews.com/news/putin-critic-dmitry-gudkov-flees-russia/', 'https://www.cbsnews.com/news/microscopic-animal-bdelloid-rotifer-frozen-siberian-permafrost/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.com/news/world-49434667', 'https://www.bbc.com/travel/story/20210609-alaskas-mushroom-of-immortality', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html', 'http://cnn.com/2021/06/09/business/jbs-cyberattack-11-million/index.html'])"
"46.2017559,6.1466014","('Geneva', ['https://www.cbsnews.com/news/biden-europe-trip-first-foreign-international/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.nytimes.com/2021/06/09/world/europe/navalny-ban-putin-biden-summit.html', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519'])"
"50.8465573,4.351697","('Brussels', ['https://www.cbsnews.com/news/biden-europe-trip-first-foreign-international/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519'])"
"39.5162234,-76.9382069","('Md.', ['https://www.nytimes.com/live/2021/06/09/world/biden-europe/'])"
"51.7462827,11.0457848","('Antifa', ['https://www.cbsnews.com/news/trump-photo-op-lafayette-park-protesters-watchdog-report/'])"
"38.89379365,-76.98799757261312","('D.C', ['https://www.cbsnews.com/news/lin-manuel-miranda-in-the-heights-movie/', 'https://www.cbsnews.com/news/el-chapo-wife-expected-guilty-plea-emma-coronel-aispuro/'])"
"38.8949924,-77.0365581","('WASHINGTON', ['https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.nytimes.com/2021/06/09/us/politics/park-police-trump-lafayette-square.html', 'https://www.nytimes.com/2021/06/09/us/politics/propublica-taxes-jeff-bezos-elon-musk.html', 'https://www.nytimes.com/2021/06/09/us/politics/biden-tiktok-ban-trump.html', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/'])"
